Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Michael Scyphers,23,1631.14,74.14,630.03
Kevin Driver,19,1592.13,88.45,1211.8
Bill Vinovich,27,1589.86,61.15,854.6
Brad Ferrie,12,1573.29,143.03,779.92
Henry Howard,10,1544.21,171.58,1280.74
Courtney Holmes,14,1532.59,117.89,841.69
Bill Covington,17,1523.21,95.2,544.89
Jake Hirz,15,1486.68,106.19,904.41
Billy McClatchy,8,1466.36,209.48,505.44
John Barley,21,1460.78,73.04,281.5
K.B. Burdett,6,1456.19,291.24,785.51
Bobby Bissant,6,1450.74,290.15,952.54
Patrick Harwood,13,1446.6,120.55,377.3
Tommy Nunez,15,1445.05,103.22,768.3
Scott Bennett,26,1435.64,57.43,391.93
Rhett Lamoreaux,10,1431.95,159.11,626.45
Casey McClellan,30,1408.13,48.56,830.7
Greg Moyer,36,1405.55,40.16,556.16
Grant Tyler,10,1401.87,155.76,479.55
Justin McKie,19,1397.05,77.61,485.78
Steven Perry Jr.,28,1387.22,51.38,458.23
David Powell,34,1363.78,41.33,602.15
Chris Fuller,20,1348.85,70.99,598.31
Jose A Carrion,3,1348.13,674.07,1004.74
"John Cahill, Jr.",16,1347.26,89.82,502.05
Lamont Simpson,15,1344.53,96.04,145.3
JW Lucas,35,1285.62,37.81,329.9
Kelly Ely,3,1282.83,641.42,1130.06
Sean Campbell,23,1276.71,58.03,327.9
Will Flowers,35,1260.43,37.07,567.75
Jordan Arnold,13,1258.37,104.86,357.15
Klajdi Mulla,5,1248.64,312.16,610.65
Zelton Sneed,3,1235.85,617.92,983.03
Lionel Butler,14,1231.35,94.72,256.54
Jawaan Williams,25,1225.44,51.06,809.7
Joshua White,8,1221.17,174.45,342.38
Danny Chance,22,1212.59,57.74,258.52
Thomas Northcutt,12,1210.77,110.07,388.06
Devorn Kinsey,12,1202.5,109.32,458.23
Nick Meyer,12,1181.55,107.41,600.13
Raymond Lightfoot,16,1178.81,78.59,398.86
Derek Schulte,26,1173.49,46.94,631.85
Chad Shepherd,26,1172.14,46.89,931.28
William Covington,7,1164.89,194.15,758.01
Tim Marion,10,1148.17,127.57,443.01
Christopher Balunek,16,1131.71,75.45,542.14
Zelton Steed,9,1103.09,137.89,501.21
Clyde Owens,7,1096.89,182.81,698.02
Grady Dale,7,1092.33,182.05,410.09
Pat Evans,5,1087.36,271.84,800.3
Mick Fieldbinder,9,1079.58,134.95,1079.58
Bill Humes,7,1039.79,173.3,355.87
Todd Van Sossan,2,1037.04,1037.04,1037.04
Riley McGraw,16,1036.17,69.08,294.47
Michael Kashirsky,14,1015.63,78.13,1015.63
Ryan Corbett,36,1010.29,28.87,373.4
Jeff Malham,8,1004.55,143.51,747.11
Bryan Washer,34,998.4,30.25,402.3
Martin Spencer,9,957.89,119.74,505.44
Anthony Burns,2,957.26,957.26,957.26
Kelly Davis,10,943.58,104.84,384.17
Chandler Burton,15,930.4,66.46,306.06
Evan Berg,17,924.79,57.8,263.05
Nicholaus Heater,13,915.29,76.27,400.14
Trenton Chaney,6,896.36,179.27,356.48
Frank Harvey,3,894.77,447.39,894.77
Randell Wells,3,889.27,444.63,889.27
Jeffrey Adams,13,889.13,74.09,437.9
Jailaan Kinsey,10,877.68,97.52,359.09
Chris Slattery,20,876.8,46.15,319.67
Tommy Deneen,31,868.51,28.95,193.13
Nick Atwood,9,858.46,107.31,314.0
Wesley Ford,6,857.81,171.56,626.35
Andrew Steratore,4,845.89,281.96,845.89
Wacey Lym,9,842.3,105.29,421.15
Jeremy Mosier,30,833.39,28.74,341.78
John Caputo,6,827.41,165.48,313.94
Drew Larson,5,816.92,204.23,421.16
Bruce Rothwell,20,810.2,42.64,252.61
Bobby Bissant III,9,794.76,99.34,420.36
Earl Lennie,11,785.54,78.55,216.0
Todd VonSossan,7,780.94,130.16,780.94
Gerald Williams,12,777.34,70.67,261.94
Owen Farist,8,757.32,108.19,300.1
Arthur Vaulk,15,747.1,53.36,510.16
Eric Kronebusch,20,746.85,39.31,384.95
Ray Ames,28,734.16,27.19,734.16
Byron Evans,15,723.12,51.65,320.8
Josh Haug,9,719.42,89.93,134.13
Earl Watson,3,709.74,354.87,709.74
Kurt Tackett,8,698.19,99.74,189.83
Ernest Hamilton III,16,691.99,46.13,521.05
Ernest Hamilton,8,681.7,97.39,341.26
Damon Allen,4,671.57,223.86,503.99
Jarrett Howell,12,671.31,61.03,244.8
"K.B. Burdett, Jr.",5,669.1,167.28,669.1
Jarrett Robinson,14,652.69,50.21,237.59
Nelson Santiago,10,651.09,72.34,651.09
Brad Yorkovich,6,637.95,127.59,637.95
Brandon Kamil,18,634.35,37.31,172.92
John Cahill Jr,5,622.7,155.68,622.7
Julian Legido,11,619.61,61.96,527.5
Jafar Kinsey,8,613.98,87.71,216.79
Ross Cullins,13,605.6,50.47,244.8
Kolbert Galeano,8,599.63,85.66,359.09
Rob Riley Jr.,6,588.43,117.69,588.43
Marvin Harris Jr.,9,573.15,71.64,318.45
John St. Claire,2,572.71,572.71,572.71
Kendell Ridley,12,571.7,51.97,409.88
Beau Melancon,4,569.77,189.92,447.57
Damien Richard,22,569.03,27.1,448.33
Kip Kissinger,3,568.79,284.39,568.79
Garrett Nestor,11,561.7,56.17,229.58
Andy Acosta,2,531.94,531.94,531.94
Tommy Morrisey,3,516.22,258.11,516.22
Edward Corbett Jr.,22,514.78,24.51,166.08
Carl Gray,4,506.13,168.71,374.4
John Atanassov,12,505.98,46.0,505.98
Rob Rourke,2,493.26,493.26,493.26
Johnny Wilkins,9,490.61,61.33,356.48
Rob Riley Sr.,3,490.13,245.07,276.32
CJ Middlebrooks,11,486.07,48.61,274.62
K.B. Burdett Jr,5,484.35,121.09,484.35
Talmadge Scott,10,480.32,53.37,264.32
Jim Googas,15,477.13,34.08,251.58
Doug Sturdivan,20,476.52,25.08,278.37
Martin Cichocki,24,470.37,20.45,470.37
Jason Albanza,3,465.74,232.87,465.74
Steven Chiara,9,458.04,57.26,458.04
Quentin Jackson,6,449.07,89.81,449.07
Nick Nadeau,19,447.86,24.88,336.54
Troy Mathis,7,443.61,73.94,167.56
Matt Oblas,13,436.08,36.34,184.83
JP Primm,13,433.84,36.15,263.05
"KB Burdett, Jr.",4,428.2,142.73,428.2
Raymond Downs,10,425.6,47.29,244.64
Doug Simons,5,422.23,105.56,422.23
John Garrett,7,419.24,69.87,247.61
Michael Thornton,7,410.86,68.48,139.56
Anthony Franklin,25,404.98,16.87,283.06
Adam Fiore,2,404.12,404.12,404.12
Landen Cammack,11,398.86,39.89,398.86
Bart Lennox,3,396.54,198.27,396.54
David Howard,16,383.76,25.58,196.11
Art Vaulk,7,383.54,63.92,165.68
Matt Lavigne,8,383.31,54.76,383.31
Andrew Murray,4,375.94,125.31,216.69
J.W. Lucas,3,373.76,186.88,373.76
Sean Lineberger,24,371.1,16.13,191.12
Connor Penn,24,370.75,16.12,230.41
Keith Fogleman,19,367.17,20.4,188.3
Javed Trotman,13,363.46,30.29,205.94
